url,size,title,price,location
https://sfbay.craigslist.org/eby/apa/5519289005.html,/ 1br - ,Outstanding ROCKRIDGE Apt Close to BART,$2600,  (oakland rockridge / claremont)   map 
https://sfbay.craigslist.org/eby/apa/5519282997.html,/ 1br - 635ft2 - ,Looking for your next home sweet home?,$2518,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519276458.html,/ 530ft2 - ,Experience the Artistry Emeryville lifestyle.,$2163,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519274508.html,/ 1br - 768ft2 - ,3rd Floor Oakland Berkeley Hills Pacific Park Plaza condominium rental,$2300,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519265175.html,/ 575ft2 - ,Come see what makes us exceptional.,$2077,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519263286.html,/ 2br - 1340ft2 - ,spectacular living/in-home office/studio,$3600,  (oakland north / temescal)   pic map 
https://sfbay.craigslist.org/eby/apa/5519261513.html,/ 1br - 635ft2 - ,Just minutes from the City!,$2530,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5512574118.html,Not Listed,Studio in great near campus location!,$1575,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5515364862.html,/ 1br - ,Albany 1 bed, 1 bath near Solano Avenue and San Pablo,$2000,  (albany / el cerrito)   pic map 
https://sfbay.craigslist.org/eby/apa/5519250297.html,Not Listed,Albany Awesome Location!/ Nice Location!(four months rent),$450,  (albany / el cerrito)   pic map 
https://sfbay.craigslist.org/eby/apa/5515828708.html,/ 1br - 203ft2 - ,Hugely Spacious Brand New 1BR/1BA! Central AC, Washer/Dryer!,$3125,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519245246.html,/ 2br - 671ft2 - ,Gorgeous downtown apartment!,$4186,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519243835.html,/ 2br - 1144ft2 - ,28th Floor - San Francisco / Golden Gate view - Pacific Park Plaza,$3800,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519237796.html,/ 1br - 484ft2 - ,Gorgeous downtown apartment!,$3347,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519234235.html,/ 1br - 540ft2 - ,Gorgeous 1 bedroom Downtown!,$2864,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519228068.html,/ 1br - 788ft2 - ,Check Out This New Apartment Home!,$2795,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5519229058.html,/ 2br - 656ft2 - ,Gorgeous downtown apartment!,$4126,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519228781.html,/ 1br - 474ft2 - ,Live in this ADORABLE building!!,$3077,  (berkeley)   pic 
https://sfbay.craigslist.org/eby/apa/5519216595.html,/ 2br - ,3001 Fulton St, Berkeley, CA,$1500,  (berkeley)   map 
https://sfbay.craigslist.org/eby/apa/5519224401.html,/ 2br - ,Perfect Sunny Northside Apartment W/ Bay Views! Open Sun - NEAR CAL,$3495,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5519224007.html,/ 2br - 1170ft2 - ,ALBANY - Updated Condo at Bayside Commons.,$2895,  (albany / el cerrito)   pic map 
https://sfbay.craigslist.org/eby/apa/5515405327.html,/ 1br - 449ft2 - ,1 Bedroom with Washer & Dryer,$1750,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519223834.html,/ 2br - 487ft2 - ,Cozy Two Bedroom In Berkeley,$3205,  (berkeley)   pic 
https://sfbay.craigslist.org/eby/apa/5507943347.html,/ 4br - ,Rare Opportunity! Beautiful House In Berkeley Hills 4 Rent! Open Sun!,$5495,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5514106521.html,Not Listed,Julia Morgan Inspired 3 Bedroom Apt. Classic Berkeley! Pre Leasing Now,$3595,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519220493.html,/ 2br - 898ft2 - ,Spacious Berkeley Apartment Near UC Berkeley Campus!!,$3990,  (berkeley)   pic 
https://sfbay.craigslist.org/eby/apa/5515886029.html,/ 3br - ,Fantastic Live/Work Loft Available Now! Open House Sunday!,$4495,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519159579.html,/ 1br - 714ft2 - ,$99 Security Deposit! 1 Bedroom 1 Bath Home Available Now!,$2752,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5490734355.html,/ 1br - ,ALBANY- Top Floor Apt. 87 Walk Score - .5 Mile to BART!,$1550,  (albany / el cerrito)   pic map 
https://sfbay.craigslist.org/eby/apa/5514247285.html,/ 1br - ,ADAMS PT - Remodeled 2nd Floor Unit w/ Great Finishes.,$1995,  (oakland lake merritt / grand)   pic map 
https://sfbay.craigslist.org/eby/apa/5519180787.html,/ 1br - 1601ft2 - ,One of a Kind Artist's Live/Work Loft!,$3640,  (oakland west)   pic map 
https://sfbay.craigslist.org/eby/apa/5519166111.html,/ 2br - ,2 bdrm apt available June 1 minutes from Bart station and Bus Lines,$2650,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519161603.html,/ 2br - 1073ft2 - ,$99 Security Deposit! 2 Bedroom 2 Bath Home Available Now!,$3435,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519172733.html,Not Listed,Two bedroom apartment for rent,$2500,  (oakland piedmont / montclair)   map 
https://sfbay.craigslist.org/eby/apa/5519171435.html,Not Listed,Studios across from Unit 2 Housing (OPEN HOUSE TODAY),$1695,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519166281.html,Not Listed,Huge studio Onc block from UC Campus.Across from Unit3. Open House,$1695,  (berkeley)   map 
https://sfbay.craigslist.org/eby/apa/5519158211.html,/ 2br - 1089ft2 - ,2 bedroom 2 bath with a Bay View!!,$3566,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519164082.html,/ 2br - ,Elegant 2-story cottage minutes from Cal and BART,$2895,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519156888.html,/ 1br - 789ft2 - ,$99 Security Deposit! 1 Bedroom 1 Bath Home Available Now!,$2942,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519137762.html,/ 1br - 700ft2 - ,1BR 1BA - Balcony - Furnished - Available June 2016,$1300,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5517274913.html,/ 1br - 823ft2 - ,$500 Off 1Bed/1Bath! $99 Deposit What are you waiting for? This is it!,$2945,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5517557935.html,/ 1br - 823ft2 - ,See It Today & Move In Tomorrow! Get $500 Off & $99 Deposit!,$2945,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519129618.html,/ 3br - 1200ft2 - ,Furnished 3 bedroom, 2 bath apartment,$5200,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5519129121.html,/ 425ft2 - ,Spacious Studio Apartment 4 Blocks from UC Berkeley Campus,$1450,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519125708.html,/ 1br - ,TELEGRAPH/ASHBY LARGE 1 BR/1 BA APT BEST LOCATION,$1600,  (berkeley)   map 
https://sfbay.craigslist.org/eby/apa/5509452776.html,/ 1br - ,Beautiful Loft-Style One Bedroom AVL April 15: B312,$2450,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5512308602.html,/ 2br - 700ft2 - ,Apartment 2Bed/ 1 Bath Remodeled Close to Piedmont Ave. Walkscore 90!,$2195,  (oakland piedmont / montclair)   pic map 
https://sfbay.craigslist.org/eby/apa/5475493296.html,/ 2br - 750ft2 - ,All new 2bd/1ba pets, pkg, yard, w/d, must see!,$2195,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5516371092.html,/ 2br - 1263ft2 - ,Premier Loft in Great Location,$3250,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519089456.html,/ 1br - ,NORTHSIDE UNIT wtr/heat paid! Close to CAMPUS & Gourmet Ghetto!,$2595,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5519089057.html,/ 1br - 640ft2 - ,Great one bedroom walking distance to everything,$1850,  (oakland piedmont / montclair)   pic map 
https://sfbay.craigslist.org/eby/apa/5519085781.html,/ 2br - 1015ft2 - ,Live Life Your Way at Bridgecourt Apartments,$3495,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519085251.html,/ 2br - 935ft2 - ,The Joy Of A New Start Begins Here - 2 BR Available Now!,$3070,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519067817.html,Not Listed,LeConte@Euclid 1BR/1BA, steps from UC,$2255,  (berkeley north / hills)   pic map 
https://sfbay.craigslist.org/eby/apa/5519077833.html,/ 3br - 1168ft2 - ,There's a Reason People Choose Us Over San Francisco!,$3473,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519071278.html,/ 1br - 880ft2 - ,Great 1 Bedroom Move in Specials! $500 Off! No Application Fee!,$3245,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519070759.html,/ 3br - 935ft2 - ,Upstairs Gourmet Ghetto, walk to UC/BART,$3895,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519070462.html,/ 1br - 632ft2 - ,Best Location Around! One Bedroom One Bath Move In Ready!,$2612,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519064249.html,/ 2br - 1060ft2 - ,Albany House for lease- available April 1,$3700,  (albany / el cerrito)   pic map 
https://sfbay.craigslist.org/eby/apa/5519063262.html,/ 1br - 615ft2 - ,ASK ABOUT OUR MOVE IN SPECIAL,$2195,  (oakland piedmont / montclair)   pic map 
https://sfbay.craigslist.org/eby/apa/5487189551.html,/ 1br - 709ft2 - ,Wonderful Brand New 1BR/1BA! Corner View, 9ft Ceilings, Pet Friendly!,$3000,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519061268.html,/ 1br - 1025ft2 - ,Spacious & Bright 1 Bedroom Unit w/Washer/Dryer! Call about Specials!,$3150,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519050547.html,/ 1br - 670ft2 - ,Amazing Large Live/Work in the Heart of Rockridge,$3500,  (berkeley)   pic map 
https://sfbay.craigslist.org/eby/apa/5519042002.html,/ 1br - 706ft2 - ,Wonderful 1 bedroom available NOW!!,$2430,  (emeryville)   pic map 
https://sfbay.craigslist.org/eby/apa/5519038817.html,/ 2br - ,Hardwood floors, Central heat,Granite Counters, Dishwasher, Gated Pkg.,$2395,  (oakland rockridge / claremont)   pic map 
